name;open;high;low;close;volume;marketCap;timestamp
"2781";0.1287350974;0.1528682406;0.1234532715;0.1521862342;3190645445.83;21846400330.95;"2024-03-20T00:00:00.000Z"
"2781";0.1521862342;0.1587587201;0.1471890911;0.1552917973;2581283876.66;22295509992.27;"2024-03-21T00:00:00.000Z"
"2781";0.1553001271;0.1649019;0.1455913527;0.1527028467;2672448713.36;21924689359.68;"2024-03-22T00:00:00.000Z"
"2781";0.1527028467;0.1746187206;0.1518549239;0.1617683477;2912614105.53;23228466903.74;"2024-03-23T00:00:00.000Z"
"2781";0.1617683477;0.1799004893;0.161716267;0.1764533653;2848346890.05;25339477246.6;"2024-03-24T00:00:00.000Z"
"2781";0.1764533653;0.1859987736;0.1701662274;0.1753666131;2654389972.48;25185770042.57;"2024-03-25T00:00:00.000Z"
"2781";0.1753666131;0.1860573967;0.1749243289;0.1824855577;2877194654.06;26210640868.13;"2024-03-26T00:00:00.000Z"
"2781";0.1824855577;0.1912853369;0.1798431386;0.1903300969;4055908715.98;27338106092.41;"2024-03-27T00:00:00.000Z"
"2781";0.1903174664;0.2265807821;0.1895728648;0.2200559163;6553128323.1;31612840439;"2024-03-28T00:00:00.000Z"
"2781";0.2200559163;0.2243997022;0.2088098299;0.2134907808;3493454858.62;30672584774.61;"2024-03-29T00:00:00.000Z"
"2781";0.2134242033;0.2165159076;0.1978469556;0.1994343968;2403795719.29;28652694244.77;"2024-03-30T00:00:00.000Z"
"2781";0.1994129041;0.2239329648;0.1993338535;0.2200642944;2414867091.79;31623141219.06;"2024-03-31T00:00:00.000Z"
"2781";0.2200654871;0.2200677874;0.1981078765;0.2055704103;3408206741.71;29543014239.07;"2024-04-01T00:00:00.000Z"
"2781";0.2055754603;0.2055765509;0.1804675203;0.1823037134;3855758083.95;26201740917.45;"2024-04-02T00:00:00.000Z"
"2781";0.1823021001;0.1874030204;0.1705055866;0.1755468803;3112605374.49;25233002605.47;"2024-04-03T00:00:00.000Z"
"2781";0.1755468803;0.1881001185;0.1722618214;0.1799259971;2153623709.43;25864876022.38;"2024-04-04T00:00:00.000Z"
"2781";0.1799259971;0.1804803767;0.1680365395;0.1775175166;1914940616.31;25521528630.94;"2024-04-05T00:00:00.000Z"
"2781";0.1775208698;0.187685775;0.1767902759;0.1859509573;1620171666.99;26735635338.31;"2024-04-06T00:00:00.000Z"
"2781";0.1859486016;0.2048105305;0.1858027281;0.1991083365;2643420653.78;28630071762.69;"2024-04-07T00:00:00.000Z"
"2781";0.1991061629;0.2086902231;0.1958847482;0.2026397267;2106344171.98;29140900781.44;"2024-04-08T00:00:00.000Z"
"2781";0.2026398378;0.203242536;0.186360553;0.1890006947;2078490137.84;27182073552.81;"2024-04-09T00:00:00.000Z"
"2781";0.1890006947;0.2016760939;0.1817621284;0.199984302;2662343294.54;28764441378.01;"2024-04-10T00:00:00.000Z"
"2781";0.199984302;0.2031196451;0.1904418715;0.1940111624;2179869258.57;27907905521.44;"2024-04-11T00:00:00.000Z"
"2781";0.1940111624;0.2004282675;0.162513219;0.1745972847;3611512055.15;25119805458.52;"2024-04-12T00:00:00.000Z"
"2781";0.174612302;0.1755715451;0.1321951858;0.1531684562;4750917199.2;22036954856.81;"2024-04-13T00:00:00.000Z"
"2781";0.1531684562;0.1644859027;0.1444824977;0.1622849162;3723264166.61;23350770292.63;"2024-04-14T00:00:00.000Z"
"2781";0.1622849162;0.168890202;0.1508842262;0.1613688163;3604719833.36;23221167847.79;"2024-04-15T00:00:00.000Z"
"2781";0.1613688759;0.1622366635;0.1469082987;0.1559894426;2473810383.05;22449237290.64;"2024-04-16T00:00:00.000Z"
"2781";0.1559900392;0.1585109712;0.1448357175;0.1476052788;1972027906.66;21244691163.09;"2024-04-17T00:00:00.000Z"
"2781";0.1476063434;0.1537166297;0.1413070401;0.1524478525;1947482132.46;21943590297.77;"2024-04-18T00:00:00.000Z"